Variable	Explanation
Q12b	"Are you able to go up and down stairs at a normal pace? 1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do"
Q12c	"Are you able to go for a walk of at least 15 minutes? 1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do"
Q12d	"Are you able to run errands and shop? 1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do"
SCORE_PROMIS_SF_PF_T	PROMIS Short Form v2.0 - Physical function t-score
PROMIS_SF_PF_SE	PROMIS Short Form v2.0 - Physical function standard error
Q13a	"In the past 7 days, how often did you feel worthless? 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always"
Q13b	"In the past 7 days, how often did you feel helpless? 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always"
Q13c	"In the past 7 days, how often did you feel depressed? 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always"
Q13d	"In the past 7 days, how often did you feel hopeless? 1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always"
SCORE_PROMIS_SF_DD_T	PROMIS Short Form v1.0 - Depression/Distress t-score
PROMIS_SF_DD_SE	PROMIS Short Form v1.0 - Depression/Distress standard error
SLEEP_QUALITY	"In the past 7 days, how was your sleep quality? 1, very poor | 2, poor | 3, fair | 4, good | 5, very good"
Q15a	"In the past 7 days, was your sleep refreshing? 1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much"
Q15b	"In the past 7 days, did you have a problem with your sleep? 1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much"
Q15c	"In the past 7 days, did you have difficulty falling asleep? 1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much"
SCORE_PROMIS_SF_SD_T	PROMIS Short Form v1.0 - Sleep Disturbance t-score
PROMIS_SF_SD_SE	PROMIS Short Form v1.0 - Sleep Disturbance standard error
LBP_SAFE	"It’s not really safe for a person with your lower back pain problem to be physically active: 1, Agree/ 0, disagree"
LBP_TERRIBLE	"You feel that your lower back pain is terrible and it’s never going to get any better: 1, Agree/ 0, disagree"
LBP_LAWSUIT	"Are you involved in a lawsuit or legal claim related to your low-back problem? 1, Yes | 0, No | 88, Not sure"
ALCO_DRUGS_1	"In the past year have you consumed alcohol or used drugs more than you meant to? 1, never | 2, rarely | 3, sometimes | 4, often | 5, always"
ALCO_DRUGS_2	"In the past year have you felt you wanted or needed to cut down on your drinking or drug use? 1, never | 2, rarely | 3, sometimes | 4, often | 5, always"
ABORIGINAL	"Are you an Aboriginal person, that is, First Nations, Métis, or Inuk (Inuit)? 0, No not an aboriginal person | 1, Yes First Nations… | 2, Yes Metis | 3, Yes Inuk"
RACE	"Race/ethnicity: 1, White | 2, South Asian | 3, Chinese | 4, Black | 5, Filipino | 6, Latin American | 7, Arab | 8, Southeast Asian | 9, West Asian |, 10, Korean | 11, Japanese | 12, Other"
EMPLOYMENT	"employment status: 1, Working  full time | 2, Working part-time | 3, Looking for work | 4, Sick or maternity leave | 5, Disabled due to back pain… | 6, Disabled for reasons other… | 7, Student | 8, Temporarily laid off | 9, Retired | 10, Keeping house | 55, Unknown | 11, Other"
EDUCATION	"education level: 1, No high school… | 2, High school | 3, Registered Apprenticeship… | 4, College, CEGEP…| 5, University certificate… below | 6, Bachelor’s degree… | 7, University certificate… above | 8, Master’s degree | 9, Degree in medicine… | 10, Doctorate    "
SMOKING	"smoking status: 0, Never smoked | 1, Current smoker | 2, Used to smoke…"
HEIGHT	Height (cm)
WEIGHT	Weight (kg)
Q1a	"Does your pain have BURNING characteristics? 0, no | 1, yes"
Q1b	"Does your pain have PAINFUL COLD characteristics? 0, no | 1, yes"
Q1c	"Does your pain have ELECTRIC SHOCK characteristics? 0, no | 1, yes"
Q2a	"Is your pain associated with TINGLING? 0, no | 1, yes"
Q2b	"Is your pain associated with PINS AND NEEDLES? 0, no | 1, yes"
Q2c	"Is your pain associated with NUMBNESS? 0, no | 1, yes"
Q2d	"Is your pain associated with ITCHING? 0, no | 1, yes"
SCORE_DN4	DN4 Score
SCORE_SCL90RSSP	SCL-90-R-Somatization subscale with pain Score
SCORE_SCL90RSSWP	SCL-90-R-Somatization subscale without pain Score
SCORE_SCL90R	Total SCL-90-R-Somatization Score
